FID,oid,idk,men,men_occ5,pt_men_occ5,geometry
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68c4,30,N14427E19214-N14434E19221,20,13,65,"MULTIPOLYGON (((734544.8580251976 6865764.352590526, 736138.2638516963 6865915.509951277, 735989.9133596725 6867507.723833921, 734396.5057434984 6867356.557012931, 734544.8580251976 6865764.352590526)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68c3,31,N14428E19210-N14429E19212,16,11,68.75,"MULTIPOLYGON (((733729.6208693802 6865887.801300791, 734327.1556676505 6865944.500880021, 734290.0773244281 6866342.577419904, 733692.5525640383 6866285.88777273, 733729.6208693802 6865887.801300791)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68c2,32,N14429E19203-N14431E19203,13,9,69.230769,"MULTIPOLYGON (((732316.8588872988 6865954.549181956, 732516.0371485287 6865973.44930626, 732460.4144515736 6866570.564414295, 732261.2361704297 6866551.664301675, 732316.8588872988 6865954.549181956)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68c1,33,N14429E19204-N14431E19204,18,15,83.333333,"MULTIPOLYGON (((732516.0371485287 6865973.44930626, 732715.2054180126 6865992.349481672, 732659.5927341487 6866589.464493351, 732460.4144515736 6866570.564414295, 732516.0371485287 6865973.44930626)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68c0,34,N14431E19174-N14438E19180,13,6,46.153846,"MULTIPOLYGON (((726503.6198519103 6865804.132113958, 727897.8571984979 6865936.522115794, 727749.3990620673 6867528.647737848, 726355.1402383137 6867396.238653737, 726503.6198519103 6865804.132113958)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68bf,35,N14431E19182-N14433E19182,29,18,62.068966,"MULTIPOLYGON (((728097.0353798415 6865955.43197343, 728296.2135647092 6865974.341797954, 728240.5702140346 6866571.447745604, 728041.391974165 6866552.537924899, 728097.0353798415 6865955.43197343)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68be,36,N14431E19187-N14432E19187,72,30,41.666667,"MULTIPOLYGON (((729092.9163462551 6866049.98084969, 729292.094464232 6866068.880515362, 729254.9958092077 6866466.957791786, 729055.8275632216 6866448.048050654, 729092.9163462551 6866049.98084969)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68bd,37,N14431E19188-N14432E19188,29,20,68.965517,"MULTIPOLYGON (((729292.094464232 6866068.880515362, 729491.2941164572 6866087.950673062, 729454.2053684747 6866486.017691806, 729254.9958092077 6866466.957791786, 729292.094464232 6866068.880515362)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68bc,38,N14431E19189-N14434E19191,17,8,47.058824,"MULTIPOLYGON (((729491.2941164572 6866087.950673062, 730088.8290535861 6866144.672318429, 730014.6205674509 6866940.675636742, 729417.0854014497 6866883.944331643, 729491.2941164572 6866087.950673062)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68bb,39,N14432E19183-N14433E19183,21,14,66.666667,"MULTIPOLYGON (((728277.6591506765 6866173.3804683965, 728476.8373574025 6866192.290258541, 728439.7484574285 6866590.357533197, 728240.5702140346 6866571.447745604, 728277.6591506765 6866173.3804683965)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68ba,40,N14432E19185-N14432E19186,47,21,44.680851,"MULTIPOLYGON (((728676.0155676533 6866211.200015579, 729074.3719142156 6866249.009437005, 729055.8275632216 6866448.048050654, 728657.4710954786 6866410.228638463, 728676.0155676533 6866211.200015579)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68b9,41,N14433E19184-N14441E19186,25,17,68,"MULTIPOLYGON (((728458.2928668946 6866391.318882702, 729055.8275632216 6866448.048050654, 728888.8261129401 6868239.238848601, 728291.2904617183 6868182.499936222, 728458.2928668946 6866391.318882702)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68b8,42,N14433E19187-N14434E19188,28,17,60.714286,"MULTIPOLYGON (((729055.8275632216 6866448.048050654, 729454.2053684747 6866486.017691806, 729417.0854014497 6866883.944331643, 729018.6675704013 6866845.975418816, 729055.8275632216 6866448.048050654)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68b7,43,N14434E19182-N14441E19183,25,12,48,"MULTIPOLYGON (((728041.391974165 6866552.537924899, 728439.7484574285 6866590.357533197, 728291.2904617183 6868182.499936222, 727892.9233741061 6868144.670587538, 728041.391974165 6866552.537924899)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68b6,44,N14436E19189-N14439E19197,11,4,36.363636,"MULTIPOLYGON (((729398.5409899271 6867082.981754887, 731191.1368130039 6867253.154994194, 731116.9603519853 6868049.305292191, 729324.3532024458 6867879.121852696, 729398.5409899271 6867082.981754887)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68b5,45,N14436E19229-N14439E19232,13,11,84.615385,"MULTIPOLYGON (((737365.692137506 6867839.125036511, 738162.3879373199 6867914.680480861, 738088.2563640574 6868710.851560945, 737291.5499952696 6868635.29613971, 737365.692137506 6867839.125036511)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68b4,46,N14437E19207-N14443E19216,17,9,52.941176,"MULTIPOLYGON (((732965.189113787 6867622.333312729, 734956.9642475743 6867811.331231115, 734827.190092869 6869204.615609043, 732835.3924592283 6869015.607301211, 732965.189113787 6867622.333312729)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68b3,47,N14438E19225-N14443E19228,14,10,71.428571,"MULTIPOLYGON (((736531.8393914363 6868161.535120186, 737328.616082859 6868237.210566272, 737217.4077483985 6869431.467756585, 736420.620433162 6869355.792081608, 736531.8393914363 6868161.535120186)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68b2,48,N14439E19160-N14454E19168,13,6,46.153846,"MULTIPOLYGON (((723566.6229340743 6867131.335815633, 725359.248243258 6867301.638297853, 725062.3244437596 6870486.194810948, 723269.663665955 6870315.872031363, 723566.6229340743 6867131.335815633)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68b1,49,N14439E19255-N14452E19265,13,7,53.846154,"MULTIPOLYGON (((742488.669603548 6868927.25938783, 744679.6705346986 6869135.0159476325, 744420.3269881242 6871921.718880382, 742229.2700968749 6871713.942468464, 742488.669603548 6868927.25938783)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68b0,50,N14440E19192-N14440E19193,16,4,25,"MULTIPOLYGON (((729921.8888887343 6867935.853279329, 730320.2460453806 6867973.674073543, 730301.7017754618 6868172.71169404, 729903.3445494334 6868134.89088362, 729921.8888887343 6867935.853279329)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68af,51,N14440E19217-N14441E19218,12,7,58.333333,"MULTIPOLYGON (((734901.3439475782 6868408.454370989, 735299.7011740564 6868446.243616271, 735262.624440457 6868844.329201497, 734864.2670751696 6868806.539923929, 734901.3439475782 6868408.454370989)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68ae,52,N14440E19236-N14444E19246,23,11,47.826087,"MULTIPOLYGON (((738685.793790031 6868767.527719089, 740876.7342353612 6868975.261462776, 740784.0823461892 6869970.501202589, 738593.119765421 6869762.747430673, 738685.793790031 6868767.527719089)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68ad,53,N14441E19187-N14445E19199,32,5,15.625,"MULTIPOLYGON (((728907.3806232942 6868040.201071087, 731496.7734401511 6868286.153385685, 731404.0431273124 6869281.352279365, 728814.6279056262 6869035.380117009, 728907.3806232942 6868040.201071087)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68ac,54,N14442E19148-N14453E19158,26,15,57.692308,"MULTIPOLYGON (((721120.7226442852 6867501.115863386, 723311.7678426055 6867709.50836479, 723089.0403081292 6870097.903433097, 720897.9397970296 6869889.502223506, 721120.7226442852 6867501.115863386)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68ab,55,N14442E19217-N14443E19217,24,13,54.166667,"MULTIPOLYGON (((734864.2670751696 6868806.539923929, 735063.4457123075 6868825.429581762, 735026.3688839762 6869223.5152763175, 734827.190092869 6869204.615609043, 734864.2670751696 6868806.539923929)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68aa,56,N14443E19171-N14454E19173,18,10,55.555556,"MULTIPOLYGON (((725683.3845437706 6868135.6193394335, 726280.9301135857 6868192.369425538, 726058.2494587442 6870580.805219173, 725460.7024741829 6870524.044998946, 725683.3845437706 6868135.6193394335)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68a9,57,N14444E19204-N14448E19210,20,14,70,"MULTIPOLYGON (((732237.8562339792 6868958.897176083, 733632.1174817979 6869091.216946188, 733539.3990600702 6870086.426663857, 732145.1265198208 6869954.096702067, 732237.8562339792 6868958.897176083)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68a8,58,N14444E19217-N14449E19226,21,12,57.142857,"MULTIPOLYGON (((734827.190092869 6869204.615609043, 736819.0492348528 6869393.67987133, 736707.8203310638 6870587.948334045, 734715.9392612047 6870398.873566541, 734827.190092869 6869204.615609043)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68a7,59,N14445E19243-N14446E19247,31,26,83.870968,"MULTIPOLYGON (((739987.3749698752 6869894.957498075, 740983.2616417006 6869989.379532177, 740946.196915144 6870387.475694461, 739950.3098832916 6870293.053622011, 739987.3749698752 6869894.957498075)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68a6,60,N14447E19234-N14456E19250,29,24,82.758621,"MULTIPOLYGON (((738157.6953520611 6870123.056042573, 741543.7351420972 6870444.120506586, 741358.412283354 6872434.613353416, 737972.3161515441 6872113.518680489, 738157.6953520611 6870123.056042573)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68a5,61,N14449E19174-N14464E19179,17,10,58.823529,"MULTIPOLYGON (((726169.5999017673 6869386.586659784, 727364.6926431376 6869500.096098126, 727067.7746824125 6872684.7084034365, 725872.6482436797 6872571.178857256, 726169.5999017673 6869386.586659784)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68a4,62,N14450E19194-N14456E19201,15,8,53.333333,"MULTIPOLYGON (((730134.7630869386 6869964.052028158, 731728.2246439027 6870115.32435055, 731598.37631506 6871508.611326764, 730004.9027365515 6871357.328641979, 730134.7630869386 6869964.052028158)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68a3,63,N14450E19204-N14453E19216,22,14,63.636364,"MULTIPOLYGON (((732126.5825396612 6870153.134685771, 734715.9392612047 6870398.873566541, 734641.7652512143 6871195.046222165, 732052.3966467956 6870949.297012243, 732126.5825396612 6870153.134685771)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68a2,64,N14450E19217-N14458E19233,14,10,71.428571,"MULTIPOLYGON (((734715.9392612047 6870398.873566541, 738102.0867079267 6870720.200450313, 737935.2302735545 6872511.615675604, 734549.0375605898 6872190.257835779, 734715.9392612047 6870398.873566541)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68a1,65,N14455E19140-N14466E19142,26,15,57.692308,"MULTIPOLYGON (((719285.8807147763 6869937.060696406, 719883.4380819653 6869993.870880385, 719660.58180803 6872382.273161549, 719063.0029278665 6872325.453241241, 719285.8807147763 6869937.060696406)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-68a0,66,N14455E19153-N14469E19167,26,10,38.461538,"MULTIPOLYGON (((721875.3093942944 6870183.1892453525, 724863.1454744118 6870467.274580702, 724584.6850640964 6873452.831358811, 721596.7700886994 6873168.717250349, 721875.3093942944 6870183.1892453525)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-689f,67,N14455E19168-N14458E19173,20,11,55,"MULTIPOLYGON (((724863.1454744118 6870467.274580702, 726058.2494587442 6870580.805219173, 725984.018996917 6871376.948208336, 724788.894139038 6871263.417645207, 724863.1454744118 6870467.274580702)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-689e,68,N14455E19261-N14462E19268,18,10,55.555556,"MULTIPOLYGON (((743387.294199252 6872225.31728786, 744980.802309653 6872376.44854414, 744832.5792632304 6873968.8766761385, 743239.038615715 6873817.7356556505, 743387.294199252 6872225.31728786)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-689d,69,N14456E19147-N14465E19152,13,12,92.307692,"MULTIPOLYGON (((720661.6184181347 6870268.638926966, 721856.7435182672 6870382.227515692, 721671.0540336805 6872372.572329494, 720475.9164521593 6872258.973978965, 720661.6184181347 6870268.638926966)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-689c,70,N14456E19186-N14462E19187,13,7,53.846154,"MULTIPOLYGON (((728429.9131047004 6871006.851195434, 728828.2812824463 6871044.680396045, 728698.3892056574 6872437.958989824, 728300.0205102704 6872400.129734659, 728429.9131047004 6871006.851195434)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-689b,71,N14457E19193-N14459E19202,17,7,41.176471,"MULTIPOLYGON (((729805.7235650569 6871338.418122778, 731797.5654536388 6871527.51148543, 731741.9133354637 6872124.636421948, 729750.0603276136 6871935.532907479, 729805.7235650569 6871338.418122778)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-689a,72,N14457E19212-N14457E19213,13,6,46.153846,"MULTIPOLYGON (((733590.2184488345 6871697.66189024, 733988.5869532416 6871735.471626097, 733970.0332762077 6871934.51002637, 733571.6647869071 6871896.710267649, 733590.2184488345 6871697.66189024)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-6899,73,N14457E19242-N14458E19246,20,16,80,"MULTIPOLYGON (((739565.7742155886 6872264.637900064, 740561.6831705022 6872359.080142253, 740524.6082222388 6872757.177152568, 739528.6989071288 6872662.734871986, 739565.7742155886 6872264.637900064)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-6898,74,N14457E19247-N14458E19248,19,12,63.157895,"MULTIPOLYGON (((740561.6831705022 6872359.080142253, 740960.0527102854 6872396.846769788, 740922.977906108 6872794.94379544, 740524.6082222388 6872757.177152568, 740561.6831705022 6872359.080142253)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-6897,75,N14458E19182-N14459E19183,17,8,47.058824,"MULTIPOLYGON (((727596.0572383926 6871329.269004435, 727994.4355018957 6871367.098393213, 727957.3160287988 6871765.175133387, 727558.9476106274 6871727.345644317, 727596.0572383926 6871329.269004435)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-6896,76,N14458E19188-N14466E19191,18,8,44.444444,"MULTIPOLYGON (((728791.1722099934 6871442.766947543, 729587.9798815033 6871518.535885604, 729420.9798029378 6873309.901367449, 728624.1607659078 6873234.123212141, 728791.1722099934 6871442.766947543)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-6895,77,N14458E19211-N14459E19212,11,6,54.545455,"MULTIPOLYGON (((733372.4854640196 6871877.800305528, 733770.8540249374 6871915.610120374, 733733.7566601596 6872313.696907523, 733335.3879603462 6872275.887060321, 733372.4854640196 6871877.800305528)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-6894,78,N14459E19168-N14461E19173,26,11,42.307692,"MULTIPOLYGON (((724788.894139038 6871263.417645207, 725984.018996917 6871376.948208336, 725928.3336509311 6871974.063388255, 724733.2080431402 6871860.522761301, 724788.894139038 6871263.417645207)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-6893,79,N14459E19237-N14463E19247,19,17,89.473684,"MULTIPOLYGON (((738532.7797649504 6872568.2918719305, 740723.7980151754 6872776.05545105, 740631.1057984782 6873771.308594013, 738440.0754890539 6873563.534895015, 738532.7797649504 6872568.2918719305)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-6892,80,N14460E19182-N14460E19182,12,6,50,"MULTIPOLYGON (((727558.9476106274 6871727.345644317, 727758.1268618896 6871746.2654439295, 727739.5720747911 6871945.303815955, 727540.3827933327 6871926.384097124, 727558.9476106274 6871727.345644317)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-6891,81,N14460E19198-N14464E19202,16,10,62.5,"MULTIPOLYGON (((730745.9868349414 6872030.095050531, 731741.9133354637 6872124.636421948, 731649.1530439566 6873119.848664616, 730653.215597576 6873025.297181925, 730745.9868349414 6872030.095050531)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-6890,82,N14461E19181-N14461E19183,29,13,44.827586,"MULTIPOLYGON (((727341.2035120238 6871907.464261446, 727938.7613631742 6871964.223502623, 727920.1966130349 6872163.261995354, 727322.6386509591 6872106.502742468, 727341.2035120238 6871907.464261446)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-688f,83,N14461E19184-N14467E19185,15,14,93.333333,"MULTIPOLYGON (((727938.7613631742 6871964.223502623, 728337.1298829799 6872002.052870847, 728207.2170644926 6873395.332703774, 727808.848026957 6873357.503280941, 727938.7613631742 6871964.223502623)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-688e,84,N14461E19214-N14467E19218,16,10,62.5,"MULTIPOLYGON (((733914.3923625832 6872531.645232751, 734910.3193009917 6872626.154152155, 734780.4847775155 6874019.464409558, 733784.5466302069 6873924.95529179, 733914.3923625832 6872531.645232751)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-688d,85,N14461E19220-N14477E19232,18,12,66.666667,"MULTIPOLYGON (((735109.498695202 6872645.053893952, 737698.9644215722 6872890.813971288, 737383.6926780336 6876274.654978915, 734794.159485719 6876028.843247523, 735109.498695202 6872645.053893952)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-688c,86,N14463E19205-N14468E19211,26,15,57.692308,"MULTIPOLYGON (((732084.6300491395 6872759.582032482, 733478.9261080583 6872891.922391462, 733367.6236299702 6874086.19410062, 731973.3060412853 6873953.843577567, 732084.6300491395 6872759.582032482)))"
rectangles_200m_menage_erbm.fid-3b922062_1898782eb13_-688b,87,N14463E19212-N14465E19213,12,8,66.666667,"MULTIPOLYGON (((733478.9261080583 6872891.922391462, 733877.2950291726 6872929.732224388, 733821.6440271032 6873526.867986256, 733423.2748975989 6873489.0581047805, 733478.9261080583 6872891.922391462)))"
